route,direction,station,headsign,headsign_en,only_if_next_station_is
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Sugamo,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Otsuka,池袋・新宿方面,"For Ikebukuro, Shinjuku",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Ikebukuro,新宿・渋谷方面,"For Shinjuku, Shibuya",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Mejiro,新宿・渋谷方面,"For Shinjuku, Shibuya",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Takadanobaba,新宿・渋谷方面,"For Shinjuku, Shibuya",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.ShinOkubo,新宿・渋谷方面,"For Shinjuku, Shibuya",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Shinjuku,渋谷・品川方面,"For Shibuya, Shinagawa",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Yoyogi,渋谷・品川方面,"For Shibuya, Shinagawa",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Harajuku,渋谷・品川方面,"For Shibuya, Shinagawa",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Shibuya,品川・東京方面,"For Shinagawa, Tōkyō",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Ebisu,品川・東京方面,"For Shinagawa, Tōkyō",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Meguro,品川・東京方面,"For Shinagawa, Tōkyō",
JR-East.Yamanote,InnerLoop,JR-East.Yamanote.Gotanda,品川・東京方面,"For Shinagawa, Tōkyō",
